AGENDA - ENTREGA TÉCNICA 2026,,,,,,,,,,,,,,
DATA,DIA ,DIA ,HORA,CHASSI,MODELO,CLIENTE,VENDEDOR,LAVADO,ACES.,ENTREGADOR,MODALIDADE,AGENDAMENTO,STATUS,OBS: PÓS ENTREGA
04/02/2026,qua.,QUA.,16:00,TR000239,11.180,NWF TRANSPORTES E LOGISTICA LTDA,CARLOS,LAVADO,,WANDERSON,ENTREGA TECNICA,CONFIRMADO,CONCLUIDO,
04/02/2026,qua.,QUA.,16:00,TR000130,11.180,NWF TRANSPORTES E LOGISTICA LTDA,CARLOS,LAVADO,,WANDERSON,ENTREGA TECNICA,CONFIRMADO,CONCLUIDO,
04/02/2026,qua.,QUA.,16:00,TR001595,11.180,REDE PET PRODUTOS AGROPECUARIOS LTDA,JORGE,LAVADO,,VALMARIO,ENTREGA TECNICA,CONFIRMADO,CONCLUIDO,
05/02/2026,qui.,QUI.,11:00,TR203002,29.530,COSTA E TAVARES TRANSP. RODOVIARIOS DE CARGAS,MARIANA,LAVADO,,WANDERSON,ENTREGA TECNICA,CONFIRMADO,CONCLUIDO,
05/02/2026,qui.,QUI.,16:00,TR021909,30.320,KJ TRANSPORTES LTDA,GADMA,NÃO LAVAR,,VALMARIO,ENTREGA TECNICA,CONFIRMADO,CONCLUIDO,
06/02/2026,sex.,SEX.,09:00,SR041860,9.180 OD,BRITANIA - FUNDO MUNICIPAL DE SAUDE,WALERIA,LAVADO,,VALMARIO,ENTREGA TECNICA,CONFIRMADO,CONCLUIDO,
06/02/2026,sex.,SEX.,DIA TODO,TR202861,29.530,MMJV GRAOS LTDA - ITUMBIARA,MARIANA,LAVADO,,MARCIO,ENTREGA TECNICA,CONFIRMADO,CONCLUIDO,
06/02/2026,sex.,SEX.,DIA TODO,TR202039,29.530,MMJV GRAOS LTDA - ITUMBIARA,MARIANA,LAVADO,,BRUNO MICHEL,ENTREGA TECNICA,CONFIRMADO,CONCLUIDO,
06/02/2026,sex.,SEX.,DIA TODO,,,EXAMES MEDICOS - DOAÇÃO DE SANGUE,FERNANDO,,,WANDERSON,RETORNO,CONFIRMADO,CONCLUIDO,
07/02/2026,sáb.,SÁB.,09:00,SR040639,33.480,PEDREIRA HVB LTDA,JORGE,,,VALMARIO,ENTREGA TECNICA,CONFIRMADO,CONCLUIDO,
09/02/2026,seg.,SEG.,09:00,TR029221,13.180,ALB TRANSPORTE E LOGISTICA LTDA,DOUGLAS,LAVADO,,WANDERSON,ENTREGA TECNICA,CONFIRMADO,CONCLUIDO,
09/02/2026,seg.,SEG.,13:30,TR003005,27.260,CONSTRUTORA RASSI LTDA,PAULO,LAVADO,,VALMARIO,ENTREGA TECNICA,CONFIRMADO,CONCLUIDO,
10/02/2026,ter.,TER.,16:00,TR202932,29.530,GAGOS CHAPEACAO E PINTURA LTDA,PAULO,LAVADO,,VALMARIO,ENTREGA TECNICA,CONFIRMADO,CONCLUIDO,
10/02/2026,ter.,TER.,A TARDE,,,REUNIAO CIPA,,,,MARCIO,,,CONCLUIDO,
11/02/2026,qua.,QUA.,09:00,TR000248,11.180,T & T COMERCIO E REPRESENTACAO LTDA,LUIZ CLAUDIO,Ñ LAVAR,,WANDERSON,ENTREGA TECNICA,CONFIRMADO,CONCLUIDO,
11/02/2026,qua.,QUA.,13:30,TR031482,13.180,SUSTENTAR RECICLAVEIS LTDA,PAULO,LAVADO,,VALMARIO,ENTREGA TECNICA,CONFIRMADO,CONCLUIDO,
11/02/2026,qua.,QUA.,16:00,TR004745,18.320,RE TRANSPORTES LTDA,LUIZ CLAUDIO,LAVADO,,WANDERSON,ENTREGA TECNICA,CONFIRMADO,CONCLUIDO,
