,,ESTOQUE ,,,,,,,,,,,,,,,,,,,,
CHASSI,VEICULO,COR,FATUR. fabri.,CLIENTE,STATUS,LOCAL - HOJE,MOVIMENTAÇÃO DESTINO,DATA SOLIC., ENTREGA,DATA DE FAT.,NF,VENDEDOR,PAGO,ACS.,OS,RECALL,VALOR,ACESSÓRIOS / RECALL,TIPO,STATUS,OBS,OBS:
VR007353,26.320,,,CENTRO OESTE IMPLEMENTOS LTDA,VENDA DIRETA,JRV,,,,09/03/2026,719249,GUSTAVO,,,,NÃO TEM,,,,,VIAGEM 63678 GO 17/03/26,
VR007687,26.320,,,CENTRO OESTE IMPLEMENTOS LTDA,VENDA DIRETA,JRV,,,,10/03/2026,719347,GUSTAVO,,,,NÃO TEM,,,,,PRANCHA 13/03/2026,
VR007188,26.320,,,CENTRO OESTE IMPLEMENTOS LTDA,VENDA DIRETA,JRV,,,,12/03/2026,719582,GUSTAVO,,,,NÃO TEM,,,,,63831 - GP - 04/04 - JRV,
VR008163,26.320,,,CENTRO OESTE IMPLEMENTOS LTDA,VENDA DIRETA,JRV,,,,16/03/2026,719837,GUSTAVO,,,,NÃO TEM,,,,,63848 - GO - 05/04,
VR009147,17.210,,,CENTRO OESTE IMPLEMENTOS LTDA,VENDA DIRETA,JRV,,,,20/03/2026,720433,GUSTAVO,,,,NÃO TEM,,,,,63848 - GO - 05/04,
VR007960,14.180,,,CENTRO OESTE IMPLEMENTOS LTDA,VENDA DIRETA,JRV,,,,31/03/2026,722128,GUSTAVO,,,,NÃO TEM,,,,,PRANCHA - 13/04/2026,
VR009645,17.210,,,CENTRO OESTE IMPLEMENTOS LTDA,VENDA DIRETA,JRV,,,,31/03/2026,722076,GUSTAVO,,,,NÃO TEM,,,,,PRANCHA - 10/04/2026,
VR009538,17.210,,,CENTRO OESTE IMPLEMENTOS LTDA,VENDA DIRETA,JRV,,,,31/03/2026,722077,GUSTAVO,,,,NÃO TEM,,,,,PRANCHA - 10/04/2026,
VR009894,9.180,,,CENTRO OESTE IMPLEMENTOS LTDA,VENDA DIRETA,JRV,,,,31/03/2026,722090,GUSTAVO,PAGO,,382195,NÃO TEM,,,,,,
VR008299,9.180,,,CENTRO OESTE IMPLEMENTOS LTDA,VENDA DIRETA,JRV,,,,31/03/2026,722127,GUSTAVO,,,,NÃO TEM,,,,,JRV,
VR010893,27.320,,,CENTRO OESTE IMPLEMENTOS LTDA,VENDA DIRETA,JRV,,,,14/04/2026,723577,GUSTAVO,,,,NÃO TEM,,,,,29/04/2026 - PRANCHA,
VR009662,14.180,,,CENTRO OESTE IMPLEMENTOS LTDA,VENDA DIRETA,JRV,,,,14/04/2026,723592,GUSTAVO,,,,NÃO TEM,,,,,29/04/2026 - PRANCHA,
VR010873,27.320,,,CENTRO OESTE IMPLEMENTOS LTDA,VENDA DIRETA,JRV,,,,14/04/2026,723576,GUSTAVO,,,,NÃO TEM,,,,,29/04/2026 - PRANCHA,
VR010166,26.260,,,CENTRO OESTE IMPLEMENTOS LTDA,VENDA DIRETA,JRV,,,,15/04/2026,723711,GUSTAVO,,,,NÃO TEM,,,,,29/04/2026 - PRANCHA,
VR012617,18.260,,,CENTRO OESTE IMPLEMENTOS LTDA,VENDA DIRETA,JRV,,,,22/04/2026,724473,GUSTAVO,,,,NÃO TEM,,,,,64138 - 09/05/206,
VR012559,26.260,,,CENTRO OESTE IMPLEMENTOS LTDA,VENDA DIRETA,JRV,,,,24/04/2026,724776,GUSTAVO,,,,NÃO TEM,,,,,64098 - 06/05/2026,
VR013355,26.320,,,CENTRO OESTE IMPLEMENTOS LTDA,VENDA DIRETA,JRV,,,,27/04/2026,725034,GUSTAVO,,,,NÃO TEM,,,,,,
VR013181,14.180,,,CENTRO OESTE IMPLEMENTOS LTDA,VENDA DIRETA,JRV,,,,29/04/2026,725343,GUSTAVO,,,,NÃO TEM,,,,,JRV - 07/05/2026,
VR014696,26.320,,,CENTRO OESTE IMPLEMENTOS LTDA,VENDA DIRETA,JRV,,,,11/05/2026,726845,GUSTAVO,,,,NÃO TEM,,,,,PRANCHA 15/05/26,
VR014589,14.180,,,CENTRO OESTE IMPLEMENTOS LTDA,VENDA DIRETA,JRV,,,,20/05/2026,727819,GUSTAVO,PAGO,,,NÃO TEM,,,,,PRANCHA - 25/05,
VR015786,31.320,,,CENTRO OESTE IMPLEMENTOS LTDA,VENDA DIRETA,JRV,,,,20/05/2026,727933,GUSTAVO,PAGO,,,NÃO TEM,,,,,PRANCHA - 25/05,
VR016433,31.320,,,CENTRO OESTE IMPLEMENTOS LTDA,VENDA DIRETA,JRV,,,,20/05/2026,727932,GUSTAVO,PAGO,,,NÃO TEM,,,,,PRANCHA - 25/05,
VR013293,9.180,,,CENTRO OESTE IMPLEMENTOS LTDA,VENDA DIRETA,JRV,,,,25/05/2026,728624,GUSTAVO,PAGO,,,NÃO TEM,,,,,PRANCHA - 30/05,
VR015619,17.210,,,CENTRO OESTE IMPLEMENTOS LTDA,VENDA DIRETA,JRV,,,,25/05/2026,728504,GUSTAVO,PAGO,,,NÃO TEM,,,,,PRANCHA - 30/05,
