,,ESTOQUE ,,,,,,,,,,,,,,,,,,,,
CHASSI,VEICULO,COR,FATUR. fabri.,CLIENTE,STATUS,LOCAL - HOJE,MOVIMENTAÇÃO DESTINO,DATA SOLIC., ENTREGA,DATA DE FAT.,NF,VENDEDOR,PAGO,ACS.,OS,RECALL,VALOR,ACESSÓRIOS / RECALL,TIPO,STATUS,OBS,OBS:
VR003480,14.180,BRANCO GEADA,27/02/26,ESTOQUE BELCAR - 04/12/25,ESTOQUE,PATIO 1,,SEM PEÇAS,,,,,,,,NÃO TEM,,,,,OFICINA - 23B971011GH - CHICOTE ELÉTRICO para colocar no BBT - SUPORTE DA PLACA COLOCAR NO REDE PET RANCOU RODAS (23M945509 e 23M945403) - chicotes e BSG para atender o 1º caminhão da BBT e tiramos o sensor de neutro para atender o caminhão da JMA (Está sem o sensor da marcha que foi usado para atender um ônibus da MOBI) - PARA-CHOQUE E PEÇA LATEAL LD PASSAGEIRO ENTREGA TECNICA BIGODINHO,
TR202263,28.480,BRANCO GEADA,27/11/25,ESTOQUE BELCAR - 08/12/25,ESTOQUE,ANS,REVISAO DE 6 MESES,,,,,,,,,NÃO TEM,,,,,NF. 709613 - VIAGEM - 62687 - VARZEA GRANDE MT - 09/12,
TR203002,29.530,BRANCO,08/12/25,ESTOQUE BELCAR - 08/12/25,ESTOQUE,ANS,REVISAO DE 6 MESES,,,,,,,,,NÃO TEM,,,,,,
TR202311,28.480,BRANCO GEADA,27/11/25,ESTOQUE BELCAR - 15/12/25,ESTOQUE,ANS,REVISAO DE 6 MESES,,,,,,,,,NÃO TEM,,,,,NF. 709837 - VIAGEM - 63023 - ANS - 15/12,
TR028280,26.320,PRATA PYRIT,16/10/25,ESTOQUE BELCAR - 16/10/25,ESTOQUE,ANS,REVISAO DE 6 MESES,,,,,,,,,NÃO TEM,,,,,,
TR018289,31.320,CINZA,20/11/25,ESTOQUE BELCAR - 20/11/25,ESTOQUE,ANS,REVISAO DE 6 MESES,,,,,,,,,TEM,,Circular AT 048-25 - Ação de Oficina – Parametrização do módulo PTM - 1 Item(s),,,NF. 707752 - DESTINO ANÁPOLIS,
TR002546,26.320,CINZA MOONSTONE,22/10/25,ESTOQUE BELCAR - 22/10/25,ESTOQUE,ANS,REVISAO DE 6 MESES,,,,,,,,,NÃO TEM,,,,,,
TR201766,28.480,BRANCO GEADA,13/06/25,ESTOQUE BELCAR - 23/06/25,ESTOQUE,ANS,REVISÃO 1 ANO,,,,,,,,,TEM,,Circular AT 049-25 - Ação de Oficina – Verificação dos tubos de alimentação de combustível - 1 Item(s),,,FROTA 3484 - 24/06/2025 GOIANIA,
VR001770,31.320,BRANCO GEADA,19/01/26,ESTOQUE BELCAR - 26/01/2026,ESTOQUE,ANS,REVISAO DE 6 MESES,,,,,,,,,NÃO TEM,,,,,NF. 714263,
VR005553,EXPRESS,BRANCO GEADA,10/03/26,ESTOQUE BELCAR - BAÚ FACCHINI,ESTOQUE,ANS,,,,,,,,,,NÃO TEM,,,,,,
VR006414,EXPRESS,BRANCO GEADA,04/03/26,"ESTOQUE BELCAR - BAU FACCHINI 4,20",ESTOQUE,ANS,,,,,,,,,,NÃO TEM,,,,,,
VR006377,14.180,BRANCO GEADA,12/03/26,"ESTOQUE BELCAR - BAU FACCHINI 6,20",ESTOQUE,PATIO 1,,SEM PEÇAS,,,,,,,,NÃO TEM,,,,,Chicote do chassi e do painel - RICARDO OFICINA,
VR000392,14.210,BRANCO,09/01/26,"ESTOQUE BELCAR - BAU FACCHINI 6,80 R$ 48.000,00",ESTOQUE,ANS,REVISAO DE 6 MESES,,,,,,,,,NÃO TEM,,,,,ENVIAMOS PARA LIBERAR ESPAÇO NO PATIO 1,
TR012411,18.210,AZUL AMBEV,05/06/25,ESTOQUE BELCAR - BAÚ JRV - 07/10/25,ESTOQUE,ANS,REVISÃO 1 ANO,,,,,,,,,TEM,,Carta DVM AT 006-26 - Ação de Campo – verificação do roteiro do chicote elétrico do motor D08 - 1 Item(s),,,ENVIADO PARA ESVAZIAR O PÁTIO - 07/10,
TR202295,28.480,BRANCO GEADA,27/11/25,ESTOQUE BELCAR - BRASIL,ESTOQUE,ANS,REVISAO DE 6 MESES,,,,,,,,,NÃO TEM,,,,,PARA ADESIVAR BRASIL - PRONTO,
TR202149,28.480,BRANCO GEADA,26/11/25,ESTOQUE BELCAR - BRASIL,ESTOQUE,PATIO 1,REVISAO DE 6 MESES,,,,,,,,381604,NÃO TEM,,,,,,
TR202266,28.480,BRANCO GEADA,26/11/25,ESTOQUE BELCAR - BRASIL,ESTOQUE,SHOWROOM,REVISAO DE 6 MESES,,,,,,,,,NÃO TEM,,,,,PARA ADESIVAR BRASIL - PRONTO,
TR202226,28.480,BRANCO GEADA,26/11/25,ESTOQUE BELCAR - BRASIL - SEM PEÇA,ESTOQUE,PATIO 1,REVISAO DE 6 MESES,SEM PEÇAS,,,,,,,,NÃO TEM,,,,,TIROU PEÇAS (MAQUINA VIDRO LD e LE - RUYTER P/OFICINA) - PRONTO ADESIVOS,
VR001627,31.320,BRANCO GEADA,SEMI NOVO,ESTOQUE BELCAR - CAÇAMBA - SHOWROOM,ESTOQUE,PATIO 2,,,,,,,,,,,,,,,,
TR019413,26.260,VERMELHO COCA,01/12/25,ESTOQUE BELCAR - CARDAN ADICIONAL,ESTOQUE,ANS,REVISAO DE 6 MESES,,,,,,,,,NÃO TEM,,,,,NF. 709440,
TR017799,26.260,VERMELHO,04/12/25,ESTOQUE BELCAR - CARDAN ADICIONAL,ESTOQUE,ANS,REVISAO DE 6 MESES,,,,,,,,,NÃO TEM,,,,,VIAGEM - 62931 - GO - 05/12,
TR031200,9.180 OD,CINZA,LAVADO,ESTOQUE BELCAR - HIGHLINE,ESTOQUE,SHOWROOM,,,,,,,,,,NÃO TEM,,,,,"R$ 675.000,00",
9536B8TDXVR011071,26.260,BRANCO GEADA,09/04/26,ESTOQUE BELCAR - HOLMES,ESTOQUE,ANS,,08/05/2026,08/06/2026,,,,,,,NÃO TEM,,,,,NF. 723185 - VIAGEM - 64447 - 10/06,
9536B8TD4VR011275,26.260,BRANCO GEADA,09/04/26,ESTOQUE BELCAR - HOLMES,ESTOQUE,ANS,,08/05/2026,,,,,,,,NÃO TEM,,,,,NF. 723183  - VIAGEM 64440 - 10/06,
9536B8TD4VR011096,26.260,BRANCO GEADA,09/04/26,ESTOQUE BELCAR - HOLMES,ESTOQUE,ANS,,08/05/2026,,,,,,,,NÃO TEM,,,,,NF. 723184 - VIAGEM - 64456 - 12/06/2026,
9535E7TB9VR013034,14.180,BRANCO GEADA,30/04/26,ESTOQUE BELCAR - HOLMES,ESTOQUE,ANS,,,,,,,,,,NÃO TEM,,,,,NF. 725998 - VIAGEM - 151407 - ,
9536B8TD7VR014316,26.260,BRANCO GEADA,30/04/26,ESTOQUE BELCAR - HOLMES,ESTOQUE,ANS,,,,,,,,,,NÃO TEM,,,,,NF. 726354 - VIAGEM - 64447 - 10/06,
953678TG3VR017466,17.210,BRANCO GEADA,28/05/26,ESTOQUE BELCAR - HOLMES,ESTOQUE,ANS,,,,,,,,,,NÃO TEM,,,,,NF. 729472 - VIAGEM - 64418 - 07/06/2026,
953678TG8VR017611,17.210,BRANCO GEADA,28/05/26,ESTOQUE BELCAR - HOLMES,ESTOQUE,ANS,,,,,,,,,,NÃO TEM,,,,,NF. 729494 - VIAGEM 64440 - 10/06,
VR000356,14.210,BRANCO,19/01/26,ESTOQUE BELCAR - JRV CAÇAMBA 6m colocar,ESTOQUE,JRV,REVISAO DE 6 MESES,,,,,,,,,NÃO TEM,,,,,JRV - 06/03/2026 GUSTAVO PEDIU,
SR031614,17.230 OD,CINZA,23/06/25,ESTOQUE BELCAR - MARCOPOLO,ESTOQUE,ANS,REVISÃO 1 ANO,,,,,,,,,TEM,5 REACALL,Carta DVM AT 001A-26 / Carta DVM AT 006-26 / Circular AT 002-26 / Circular AT 012-25 / Circular AT 054-25 ,,,MARCOPOLLO - REVISÃO DE ENTREGA DELES - 08/09 - ENVIADO PARA GABARDO A PEDIDO DO FERNANDO,Recebido em 10/09/2025 Ônibus sem kit ferramenta só apenas extintor está faltando estepe
TR011852,17.230 OD,BRANCO,06/06/25,"ESTOQUE BELCAR - MARCOPOLO R$ 510.000,00",ESTOQUE,SHOWROOM,REVISÃO 1 ANO,,,,,,,,369635,TEM,,Carta DVM AT 001A-26 / Carta DVM AT 006-26,,,"R$ 437.629,96 CHASSI",
SR032830,15.210 OD,CINZA,05/06/25,ESTOQUE BELCAR - MASCARELLO URBANO 44 LUGARES,ESTOQUE,SHOWROOM,REVISÃO 1 ANO,,,,,,,,369158,TEM,, Carta DVM AT 001A-26 / Carta DVM AT 006-26 / Circular AT 002-26 / Circular AT 012-25,,,"R$ 650.000,00",
VR203709,28.480,AZUL PEPSI,28/05/26,ESTOQUE BELCAR - PHB,ESTOQUE,PATIO 1,,01/06/2026,05/06/2026,,729292,,,,,NÃO TEM,,,,,NF. 729292 - VIAGEM - 64418 - 07/06/2026,
SR017606,11.180,VERMELHO RUBI,05/12/24,ESTOQUE BELCAR - PIPA 7.000,ESTOQUE,JRV,REVISÃO 1 ANO,,,,,,,,,NÃO TEM,,,,,JRV - 13/01/2026 - GUSTAVO - COLOCAR PIPA,
TR014589,18.260,BRANCO,20/06/25,ESTOQUE BELCAR - PRANCHA JRV,ESTOQUE,JRV,REVISÃO 1 ANO,,,,,,,,,NÃO TEM,,,,,,
TR026601,26.320,BRANCO,31/10/25,ESTOQUE BELCAR - PRANCHA JRV,ESTOQUE,JRV,REVISAO DE 6 MESES,,,,,,,,,NÃO TEM,,,,,PARAMETRIZAR E GEOMETRIA - JRV - TAINA,
VR010139,14.210,AZUL SAFIRA,22/04/26,ESTOQUE BELCAR - SHOWROOM,ESTOQUE,SHOWROOM,,,,,,,,,,NÃO TEM,,,,,,
SR006010,9.180,AZUL BISCAY,12/03/24,ESTOQUE BELCAR - V-TRONIC,ESTOQUE,JRV,REVISÃO 1 ANO,,,,,,,,351364,NÃO TEM,,,,,JRV,
TR003562,9.180,LARANJA NEPAL,26/03/25,RTL ENCOMENDAS E CARGAS LTDA,ESTOQUE,SHOWROOM,REVISÃO 1 ANO,,,,,,,,374047,NÃO TEM,,,,,"R$ 390.000,00 - AVARIADO PORTA",
SR203214,29.530,BRANCO GEADA,05/09/24,ESTOQUE BELCAR / CCL / TESTE DRIV,ESTOQUE,JRV,REVISÃO 1 ANO,,,,,,,,353172,NÃO TEM,,,,,JRV,
TR026704,18.210,BRANCO,23/09/25,ESTOQUEBELCAR,ESTOQUE,ANS,REVISÃO 1 ANO,,,,,,,,,NÃO TEM,,,,,,
VR000497,26.320,"PEÇA AR CONDIC,",02/02/26,FA INDUSTRIA E COMERCIO DE ALIMENTOS LTDA,FATURADO,JRV,,05/06/2026,,28/05/2026,1041987,DOUGLAS,PAGO,OK,382655,NÃO TEM,"R$ 9.000,00","DEFLETOR, TAPETE VINIL E MOEDA, INSULFILME E SOPRADOR",,,VAI P/JRV,
9536B8TD1VR018619,18.260,BRANCO GEADA,,FERNANDES LOC D VEIC E EQUIPAMENTOS LTDA,FATURADO,IMPLEMENTADOR,,LOPAC - 25/06,,17/06/2026,731474,GUSTAVO,PAGO,,,NÃO TEM,,,,,,
9536B8TDXVR018912,18.260,BRANCO GEADA,,FERNANDES LOC D VEIC E EQUIPAMENTOS LTDA,FATURADO,IMPLEMENTADOR,,LOPAC - 25/06,,17/06/2026,731471,GUSTAVO,PAGO,,,NÃO TEM,,,,,,
9536B8TD6VR018499,18.260,BRANCO GEADA,,FERNANDES LOC D VEIC E EQUIPAMENTOS LTDA,FATURADO,IMPLEMENTADOR,,LOPAC - 25/06,,17/06/2026,731472,GUSTAVO,PAGO,,,NÃO TEM,,,,,,
9536B8TD5VR018638,18.260,BRANCO GEADA,,FERNANDES LOC D VEIC E EQUIPAMENTOS LTDA,FATURADO,IMPLEMENTADOR,,LOPAC - 25/06,,17/06/2026,731475,GUSTAVO,PAGO,,,NÃO TEM,,,,,,
9536B8TD0VR018644,18.260,BRANCO GEADA,,FERNANDES LOC D VEIC E EQUIPAMENTOS LTDA,FATURADO,IMPLEMENTADOR,,LOPAC - 25/06,,17/06/2026,731473,GUSTAVO,PAGO,,,NÃO TEM,,,,,,
VR014443,18.260,382199,15/05/26,FERNANDES LOC D VEIC E EQUIPAMENTOS LTDA ,FATURADO,PATIO 2,,AVARIADO - LANTERNAGEM,,14/05/2026,727197,GUSTAVO,PAGO,NÃO,383610,NÃO TEM,,,,,,
VR008162,17.210,,13/04/26,FOKUS LOCADORA DE VEICULOS LTDA,FATURADO,PATIO 1,,,,19/03/2026,720367,CRISTIANO,PAGO,NÃO,383611,NÃO TEM,,,,,,
VR009036,17.210,,21/03/26,FOKUS LOCADORA DE VEICULOS LTDA  - AVARIA NO PARACHOQUE,VENDA DIRETA,PATIO 2,,,,20/03/2026,720466,CRISTIANO,PAGO,NÃO,382833,NÃO TEM,,,,,,
VR005980,14.180,,30/03/26,GOLD TRANSPORTES LTDA,FATURADO,IMPLEMENTADOR,,,,20/04/2026,1035424,JORGE,PAGO,,380403,NÃO TEM,,,,,AMERICA PEÇAS - 24/04/2026,
VR016077,27.320,AZUL UNIQUE ,20/05/26,GOLDMAN SOLUCOES EM SANEAMENTO LTDA,FATURADO,PATIO 1,,,,30/06/2026,1047616,PAULO,NÃO,NÃO,383769,NÃO TEM,,,,,NF. 727949,
VR009535,EXPRESS,,02/04/26,GOLDMAN SOLUCOES EM SANEAMENTO LTDA,FATURADO,DESTINO ,,,,23/04/2026,1035982,GUSTAVO,,,,NÃO TEM,,,,,JRV,
VR000398,26.260,,12/01/25,GOLDMAN SOLUCOES EM SANEAMENTO LTDA,FATURADO,IMPLEMENTADOR,REVISÃO 1 ANO,GOLDMAN - 15/06/26,,17/06/2026,1045430,PAULO,,,381599,NÃO TEM,,,,,GOLDMAN 15/05/26,
TR018840,26.320,,14/07/25,GOLDMAN SOLUCOES EM SANEAMENTO LTDA,FATURADO,IMPLEMENTADOR,REVISAO DE 6 MESES,,,11/02/2026,1024134,PAULO,,,,NÃO TEM,,,,,ROBOCONTROL - 28/01/2026 ,
TR025827,30.320,PRETO UNIVERSAL,23/09/25,GOLDMAN SOLUCOES EM SANEAMENTO LTDA,FATURADO,IMPLEMENTADOR,REVISAO DE 6 MESES,GOLDMAN - 10/06/26,,17/06/2026,1045446,PAULO,PAGO,,,NÃO TEM,,,,,,
TR022322,30.320,,30/09/25,GOLDMAN SOLUCOES EM SANEAMENTO LTDA,FATURADO,IMPLEMENTADOR,REVISAO DE 6 MESES,,,18/03/2026,1029912,PAULO,,,,NÃO TEM,,,,,GOLDMAN - 17/03/26,
TR025093,26.320,,14/10/25,GOLDMAN SOLUCOES EM SANEAMENTO LTDA,FATURADO,IMPLEMENTADOR,REVISAO DE 6 MESES,,,11/02/2026,1024139,PAULO,,,,NÃO TEM,,,,,ROBOCONTROL - 28/01/2026 ,
TR028154,18.260,,29/10/25,GOLDMAN SOLUCOES EM SANEAMENTO LTDA,FATURADO,IMPLEMENTADOR,REVISAO DE 6 MESES,,,03/03/2026,1027680,PAULO,,,,NÃO TEM,,,,,GOLDEN VAC - 22/11/2025,
TR027739,30.320,,29/10/25,GOLDMAN SOLUCOES EM SANEAMENTO LTDA,FATURADO,IMPLEMENTADOR,REVISAO DE 6 MESES,,,04/03/2026,1027766,PAULO,,,,NÃO TEM,,,,,ROBOCONTROL - 28/01/26,
TR019623,26.320,,15/12/25,GOLDMAN SOLUCOES EM SANEAMENTO LTDA,FATURADO,IMPLEMENTADOR,REVISAO DE 6 MESES,GOLDMAN - 14/05/26,,17/06/2026,1045436,PAULO,,,381854,NÃO TEM,,,,,GOLDMAN - 14/05/2026,
TR031652,26.320,,30/12/25,GOLDMAN SOLUCOES EM SANEAMENTO LTDA,FATURADO,IMPLEMENTADOR,REVISAO DE 6 MESES,,,18/03/2026,1029917,PAULO,,,375556,NÃO TEM,,,,,ROBOCONTROL - 11/03/2026,
VR003946,30.320,,27/02/26,GOLDMAN SOLUCOES EM SANEAMENTO LTDA,FATURADO,IMPLEMENTADOR,,SOLIVAC - 08/05/26,,17/06/2026,1045484,PAULO,,,,NÃO TEM,,,,,SOLIVAC - SP - 18/05/26 prancha,
VR004953,30.320,,28/02/26,GOLDMAN SOLUCOES EM SANEAMENTO LTDA,FATURADO,IMPLEMENTADOR,,,,18/03/2026,1029908,PAULO,,,,NÃO TEM,,,,,GOLDMAN - 18/03/2026,
VR001042,26.320,,28/02/26,GOLDMAN SOLUCOES EM SANEAMENTO LTDA,FATURADO,IMPLEMENTADOR,,,,18/03/2026,1029925,PAULO,,,,NÃO TEM,,,,,ROBOCONTROL - 11/03/2026,
VR003040,26.260,,28/2/26,GOLDMAN SOLUCOES EM SANEAMENTO LTDA,FATURADO,IMPLEMENTADOR,,GOLDMAN - 14/05/26,,17/06/2026,1045425,PAULO,,,381856,NÃO TEM,,,,,,
VR006549,26.260,VERMELHO NOBRE,10/03/26,GOLDMAN SOLUCOES EM SANEAMENTO LTDA,FATURADO,IMPLEMENTADOR,,GOLDMAN - 08/05/26,,17/06/2026,1045460,PAULO,,,381216,NÃO TEM,,,,,GOLDMAN - 08/05/2026,
VR009923,9.180,,02/04/26,GOLDMAN SOLUCOES EM SANEAMENTO LTDA,FATURADO,IMPLEMENTADOR,,,,23/04/2026,1035983,PAULO,,,,NÃO TEM,,,,,JRV,
VR203571,28.480,,28/05/26,GOLDMAN SOLUCOES EM SANEAMENTO LTDA,FATURADO,IMPLEMENTADOR,,GOLDMAN - 10/06/26,,17/06/2026,1045473,PAULO,PAGO,,382834,NÃO TEM,,,,,,
VR007011,26.320,,34/04/26,GOLDMAN SOLUCOES EM SANEAMENTO LTDA,FATURADO,IMPLEMENTADOR,,SOLIVAC - 08/05/26,,17/06/2026,1045480,PAULO,,,,NÃO TEM,,,,,SOLIVAC - SP - 08/05/26 prancha,
VR006643,26.320,,34/04/26,GOLDMAN SOLUCOES EM SANEAMENTO LTDA,FATURADO,IMPLEMENTADOR,,SOLIVAC - 08/05/26,,17/06/2026,1045465,PAULO,,,,NÃO TEM,,,,,SOLIVAC - SP - 08/05/26 prancha,
VR011828,26.320,,34/04/26,GOLDMAN SOLUCOES EM SANEAMENTO LTDA,FATURADO,IMPLEMENTADOR,,SOLIVAC - 08/05/26,,17/06/2026,1045447,PAULO,,,,NÃO TEM,,,,,SOLIVAC - SP - 18/05/26 prancha,
VR012408,26.320,,34/04/26,GOLDMAN SOLUCOES EM SANEAMENTO LTDA,FATURADO,IMPLEMENTADOR,,GOLDMAN - 05/06/26,,17/06/2026,1045471,PAULO,PAGO,,382201,NÃO TEM,,,,,GOLDMAN - 05/06/2026,
TR200478,28.480,,,GOLDMAN SOLUCOES EM SANEAMENTO LTDA,FATURADO,JRV,,,,15/05/2026,1039583,PAULO,PAGO,,,TEM,,Circular AT 049-25 - Ação de Oficina – Verificação dos tubos de alimentação de combustível - 1 Item(s),,,,
VR016071,27.320,AZUL UNIQUE ,20/05/26,GOLDMAN SOLUCOES EM SANEAMENTO LTDA - SEM MOLDURA VIDRO ELETRICO,FATURADO,PATIO 1,,SEM PEÇAS,,30/06/2026,1047617,PAULO,NÃO,NÃO,383770,NÃO TEM,,,,,NF. 727950,
TR033307,26.260,BRANCO GEADA,19/12/25,GUSTAVO - ELIAS,ESTOQUE,JRV,REVISAO DE 6 MESES,,,,,,,,,TEM,,,,,JRV - VIAGEM - 61363 - GO - 12/01,
TR013376,26.260,BRANCO GEADA,19/12/25,GUSTAVO - ELIAS,ESTOQUE,JRV,REVISAO DE 6 MESES,,,,,,,,,NÃO TEM,,,,,JRV - VIAGEM - 61362 - GO - 12/01,
TR033018,11.180,BRANCO GEADA,23/12/25,GUSTAVO - ELIAS,ESTOQUE,JRV,REVISAO DE 6 MESES,,,,,,,,,NÃO TEM,,,,,JRV - VIAGEM - 63139 - GO - 11/01,
TR035287,11.180,BRANCO GEADA,23/12/25,GUSTAVO - ELIAS,ESTOQUE,JRV,REVISAO DE 6 MESES,,,,,,,,,NÃO TEM,,,,,JRV - VIAGEM - 63139 - GO - 11/01,
TR035382,31.320,BRANCO GEADA,23/12/25,GUSTAVO - ELIAS,ESTOQUE,JRV,REVISAO DE 6 MESES,,,,,,,,,NÃO TEM,,,,,JRV - VIAGEM - 61369 - ANS - 13/01,
TR033264,26.260,BRANCO GEADA,19/12/25,GUSTAVO - ELIAS - COLETOR DE LIXO JRV,ESTOQUE,JRV,REVISAO DE 6 MESES,,,,,,,,,NÃO TEM,,,,,JRV - KEILA LEVOU,
VR014840,26.260,BRANCO GEADA,SEMI NOVO,IBIZA CONSTRUTORA LTDA,FATURADO,PATIO 1,JRV,01/06/2026,05/06/2026,26/06/2026,1047143,GUSTAVO,PAGO,NÃO,383773,NÃO TEM,,,,,VIAGEM - 64403 - 06/06/2026,
VR005154,17.210,BRANCO GEADA,25/02/26,INDUSTRIA E COMERCIO DE BEBIDAS IMPERIAL S.A.,VENDA DIRETA,IMPLEMENTADOR,,,,24/02/2026,717179,ENEIAS,,,,NÃO TEM,,,,,PRANCHA - 13/03,
VR005131,17.210,BRANCO GEADA,25/02/26,INDUSTRIA E COMERCIO DE BEBIDAS IMPERIAL S.A.,VENDA DIRETA,IMPLEMENTADOR,,,,24/02/2026,717194,ENEIAS,,,,NÃO TEM,,,,,PRANCHA - 12/03,
VR004920,17.210,BRANCO GEADA,25/02/26,INDUSTRIA E COMERCIO DE BEBIDAS IMPERIAL S.A.,VENDA DIRETA,IMPLEMENTADOR,,,,24/02/2026,717195,ENEIAS,,,,NÃO TEM,,,,,PRANCHA - 12/03,
VR005266,17.210,BRANCO GEADA,25/02/26,INDUSTRIA E COMERCIO DE BEBIDAS IMPERIAL S.A.,VENDA DIRETA,IMPLEMENTADOR,,,,24/02/2026,717196,ENEIAS,,,,NÃO TEM,,,,,PRANCHA - 13/03,
VR005263,17.210,BRANCO GEADA,25/02/26,INDUSTRIA E COMERCIO DE BEBIDAS IMPERIAL S.A.,VENDA DIRETA,IMPLEMENTADOR,,,,24/02/2026,717242,ENEIAS,,,,NÃO TEM,,,,,PRANCHA - 13/03,
VR003155,17.210,BRANCO GEADA,26/02/26,INDUSTRIA E COMERCIO DE BEBIDAS IMPERIAL S.A.,VENDA DIRETA,IMPLEMENTADOR,,,,25/02/2026,717431,ENEIAS,,,,NÃO TEM,,,,,,
VR003049,17.210,BRANCO GEADA,13/03/26,INDUSTRIA E COMERCIO DE BEBIDAS IMPERIAL S.A.,VENDA DIRETA,IMPLEMENTADOR,,,,24/02/2026,717186,ENEIAS,,,,NÃO TEM,,,,,PRANCHA - 12/03,
VR003468,17.210,BRANCO GEADA,13/03/26,INDUSTRIA E COMERCIO DE BEBIDAS IMPERIAL S.A.,VENDA DIRETA,IMPLEMENTADOR,,,,24/02/2026,717187,ENEIAS,,,,NÃO TEM,,,,,PRANCHA - 12/03,
VR008342,26.260,BRANCO GEADA,19/03/26,INDUSTRIA E COMERCIO DE BEBIDAS IMPERIAL S.A.,VENDA DIRETA,IMPLEMENTADOR,,,,17/03/2026,720042,ENEIAS,,,,NÃO TEM,,,,,FACCHINI S/A - VOTUPORANGA-SP - 63869 15/04,
VR009197,26.260,BRANCO GEADA,21/03/26,INDUSTRIA E COMERCIO DE BEBIDAS IMPERIAL S.A.,VENDA DIRETA,IMPLEMENTADOR,,,,20/03/2026,720517,ENEIAS,,,,NÃO TEM,,,,,FACCHINI S/A - VOTUPORANGA-SP - 63870 - 15/04,
VR009249,26.260,BRANCO GEADA,24/03/26,INDUSTRIA E COMERCIO DE BEBIDAS IMPERIAL S.A.,VENDA DIRETA,IMPLEMENTADOR,,,,23/03/2026,720548,ENEIAS,,,,NÃO TEM,,,,,FACCHINI S/A - VOTUPORANGA-SP - 63870 - 15/04,
VR018884,11.180,MARROM VANILLA,15/06/26,JB INDUSTRIA E COMERCIO DE CARNES LTDA,FATURADO,ANS,,,,29/06/26,1047437,JORGE,NÃO,SIM,,NÃO TEM,"R$ 5.000,00",,,,NF. 731066,
VR006609,11.180,VERMELHO NOBRE,26/03/26,JB INDUSTRIA E COMERCIO DE CARNES LTDA,FATURADO,IMPLEMENTADOR,,THERMO POINT - 17/06,,26/05/2026,1041326,JORGE,PAGO,SIM,383472,NÃO TEM,"R$ 5.000,00","CHINIL, VINIL E MOEDA, MANGUEIRA DE SOPRAR, CALHA DE CHUVA E INSFUILME",,,,
SR029454,17.210,BRANCO GEADA,25/09/24,JRV,ESTOQUE,JRV,REVISÃO 1 ANO,,,,,,,,353918,TEM,,Carta DVM AT 006-26 - Ação de Campo – verificação do roteiro do chicote elétrico do motor D08 - 1 Item(s),,,JRV,
SR034044,26.260,BRANCO GEADA,28/10/24,JRV IND E COM DE PECAS LTDA,ESTOQUE,JRV,REVISÃO 1 ANO,,,,,,,,355109,TEM,,Circular AT 054-25 - Ação de Oficina – Substituição do dreno do filtro de ar - 1 Item(s),,,JRV,
VR001501,17.210,BRANCO GEADA,23/01/26,MAAS SERVICOS LTDA,VENDA DIRETA,IMPLEMENTADOR,REVISAO DE 6 MESES,,,22/01/2026,714575,CRISTIANO,,,,NÃO TEM,,,,,FACCHINI SÃO JOSE DO RIO PRETO,
VR000756,17.210,BRANCO GEADA,23/01/26,MAAS SERVICOS LTDA,VENDA DIRETA,IMPLEMENTADOR,REVISAO DE 6 MESES,,,22/01/2026,714549,CRISTIANO,,,,NÃO TEM,,,,,EMAQ IND - APARECIDA DE GOIANIA GP ,
VR002430,17.210,BRANCO GEADA,23/02/26,MAAS SERVICOS LTDA,VENDA DIRETA,IMPLEMENTADOR,,,,21/02/2026,716877,CRISTIANO,,,,NÃO TEM,,,,,IMAP - SANTO ANTONIO DA POSSE 27/02,
VR003207,17.210,BRANCO GEADA,28/02/26,MAAS SERVICOS LTDA,VENDA DIRETA,IMPLEMENTADOR,,,,27/02/2026,718155,CRISTIANO,,,,NÃO TEM,,,,,MAAS SERVIÇOS,
VR003374,17.210,BRANCO GEADA,28/02/26,MAAS SERVICOS LTDA,VENDA DIRETA,IMPLEMENTADOR,,,,27/02/2026,718158,CRISTIANO,,,,NÃO TEM,,,,,MAAS SERVIÇOS,
VR008309,26.260,BRANCO GEADA,16/03/26,MAAS SERVICOS LTDA,VENDA DIRETA,IMPLEMENTADOR,,,,13/03/2026,719702,CRISTIANO,,,,NÃO TEM,,,,,MAAS SERVIÇOS - 18/03,
VR008339,26.260,BRANCO GEADA,19/03/26,MAAS SERVICOS LTDA,VENDA DIRETA,IMPLEMENTADOR,,,,17/03/2026,719992,CRISTIANO,,,,NÃO TEM,,,,,MAAS SERVIÇOS - 19/03,
VR009189,26.260,BRANCO GEADA,21/03/26,MAAS SERVICOS LTDA,VENDA DIRETA,IMPLEMENTADOR,,,,20/03/2026,720519,CRISTIANO,,,,NÃO TEM,,,,,63867 - VOTUPORANGA - 11/04,
VR009045,26.260,BRANCO GEADA,23/03/26,MAAS SERVICOS LTDA,VENDA DIRETA,IMPLEMENTADOR,,,,20/03/2026,720415,CRISTIANO,,,,NÃO TEM,,,,,FACCHINI - VOTUPORANGA - 08/04,
VR009327,26.260,BRANCO GEADA,24/03/26,MAAS SERVICOS LTDA,VENDA DIRETA,IMPLEMENTADOR,,,,23/03/2026,720581,CRISTIANO,,,,NÃO TEM,,,,,FACCHINI - VOTUPORANGA - 08/04,
VR009855,26.260,BRANCO GEADA,27/03/26,MAAS SERVICOS LTDA,VENDA DIRETA,IMPLEMENTADOR,,,,26/03/2026,721178,CRISTIANO,,,,NÃO TEM,,,,,FACCHINI VOTUPORANGA - SP - 07/04/2026,
