,,ESTOQUE ,,,,,,,,,,,,,,,,,
CHASSI,VEICULO,COR,DT FATUR.,CLIENTE,LOCAL - HOJE,MOVIMENTAÇÃO DESTINO,DATA SOLICITADA,DATA ENTREGA,DATA DE FAT.,NF,VENDEDOR,PAGO,OS,RECALL,ACESSÓRIOS,TIPO,,OBS,OBS:
VR004844,26.320,PRATA TUNGSTEN,10/03/26,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,NF. 719363 - VIAGEM - 64043 - 01/05,
VR005357,31.320,BRANCO GEADA,11/03/26,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,NF. 719516 - GABADO RJ,
VR203065,29.530,PRATA TUNGSTEN,46093,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,NF. 719158 - VIAGEM 63775 - 23/03/26 BSB,
VR004971,20.480,PRATA TUNGSTTEN,15/03/26,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,NF. 719831 - VIAGEM - 63817 - RIO VERDE - 03/04/2026,
VR203255,29.530,BRANCO GEADA,23/03/26,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,NF. 720599,
VR006983,30.320,VERMELHO NOBRE,23/03/26,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,NF. 720626,
VR203293,29.530,BRANCO GEADA,31/03/26,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,NF. 722025 - VIAGEM 64011 - 26/04,
VR203353,29.530,BRANCO GEADA,31/03/26,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,NF. 722010 - GABADO RJ,
VR010055,9.180,AZUL,10/04/26,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,PRANCHA,
VR011717,17.210,BRANCO GEADA,14/04/26,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,NF. 723558,
VR010847,20.480,CINZA,15/04/26,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,NF. 723710 - PRANCHA 07/05/2026,
VR012284,14.210,BRANCO GEADA,17/04/26,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,NF. 724092 - VIAGEM - 64162 - 11/05 ANS,
VR011828,26.320,,22/04/26,GOLDMAN,ANS,,,,,,,,,,,,,PRANCHA GABARDO 29/04/26,
VR009698,17.210,,22/04/26,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,PRANCHA GABARDO 29/04/26,
VR011151,11.180,VERDE TURQUESA,30/04/26,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,NF. 725912,
VR014116,9.180,MARROM VANILLA,30/04/26,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,NF. 725920 - VIAGEM - 64162 - 11/05 ANS,
VR009356,18.260,CINZA,02/05/26,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,PRANCHA GABARDO - 04/05/26,
VR009983,25.480,BRONZE TERRA,02/05/26,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,PRANCHA GABARDO - 04/05/26,
TR023127,18.320,BRANCO,1011/25,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,NF. 707214 - VIAGEM - 62761 - GO - 11/11,
TR028158,33.260,BRANCO,,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,PARA ESVAZIAR O PATIO - 06/02/26,
VR003293,30.320,BRANCO GEADA,,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,NF. 716209,
VR003457,9.180,BRANCO GEADA,,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,NF. 715807,
VR003946,30.320,AZUL PARAGAS,,GOLDMAN,ANS,,,,,,,,,,,,,LIBERAR ESPAÇO NO PATIO 1 - 14/04/2026,
SR039282,33.480,BRANCO GEADA,,ESTOQUE BELCAR - 6X4 OFF ROAD,ANS,,,,,,,,361204,,,,,PARA ESVAZIAR O PÁTIO 16/04/2026 - CAPA DA BATERIA QUEBRADA,
VR005344,31.320,BRANCO GEADA,11/03/26,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,NF. 719520 - VIAGEM - 64184 - 15/05/2026,
VR004952,26.320,PRATA TUNGSTEN,28/03/26,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,NF. 721448 - VIAGEM - 64185 - 15/05/2026,
VR012812,14.180,BRANCO GEADA,22/04/26,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,NF. 724261 - VIAGEM - 64185 - 15/05/2026,
VR007013,26.260,BRANCO GEADA,06/04/06,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,NF. 722879 - VIAGEM - 64185 - 15/05/2026,
VR012267,14.210,BRANCO GEADA,24/04/26,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,NF. 724748 - VIAGEM - 64185 - 15/05/2026,
VR012910,14.180,BRANCO GEADA,25/04/26,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,NF. 724937 - VIAGEM - 64185 - 15/05/2026,
VR009101,26.320,BRANCO GEADA,08/04/06,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,NF. 723043 - VIAGEM - 64185 - 15/05/2026,
